SWNO,Material,Length,Time of Fault,Fault outiside given scada time period,Avg Load Before Fault,Max Load Before Fault,Number of previous faults,Days since previous fault
33059,XLPE,400,16-09-24 22:06,FALSE,7.546067416,119.35,0,
33163,XLPE,400,19-09-24 15:09,FALSE,137.1817361,192.98,0,
33012,XLPE,300,23-09-24 13:57,TRUE,,,0,
1289,XLPE,300+400,24-09-24 21:15,FALSE,95.14430647,178.4,0,
33353,PILC,400,03-10-24 2:52,TRUE,,,0,
33154,,,07-10-24 2:49,FALSE,98.75640805,123.59,0,
33172,,400,08-10-24 5:19,FALSE,114.6531582,319.87,0,
33248,XLPE,400,13-10-24 1:36,FALSE,57.24794461,104,0,
33154,,300+400,13-10-24 3:26,FALSE,94.45345125,129.12,1,6 days 00:36:44
33236,XLPE,400,22-10-24 23:04,FALSE,162.0619442,230,0,
33325,XLPE,400,23-10-24 1:09,FALSE,149.9335515,209.13,0,
1102,,300,25-10-24 4:02,FALSE,115.464158,165.9,0,
33348,XLPE,400,26-10-24 16:38,TRUE,,,0,
33236,XLPE,400,29-10-24 22:12,FALSE,159.0908628,432,1,6 days 23:08:00
1151,,0.3+300,31-10-24 4:21,FALSE,72.8815726,112,0,
33063,,300+400,02-11-24 1:40,FALSE,63.84028362,175.83,0,
1151,PILC,300,04-11-24 16:28,FALSE,66.16535605,112,1,4 days 12:07:00
33207,XLPE,400,12-11-24 18:18,FALSE,116.2517609,165.46,0,
33207,XLPE,400,14-11-24 4:57,FALSE,113.7346283,165.46,1,1 days 10:39:00
33128,XLPE,400,15-11-24 15:06,FALSE,175.2305518,255.13,0,
33294,XLPE,400,19-11-24 1:57,FALSE,40.28859917,55.38,0,
33160,XLPE,400,21-11-24 17:26,FALSE,,,0,
33176,XLPE,400,01-12-24 4:40,FALSE,142.0868838,242.55,0,
33056,,400,05-12-24 20:41,FALSE,128.7734558,242.42,0,
