Date,Temp,Humidity,Rain
2023-04-01,83.9,48.0,0.0
2023-04-02,84.7,40.2,0.0
2023-04-03,85.1,44.2,0.0
2023-04-04,84.3,46.5,0.0
2023-04-05,86.5,39.4,0.0
2023-04-06,86.9,32.6,0.0
2023-04-07,87.2,26.1,0.0
2023-04-08,88.9,29.8,0.0
2023-04-09,89.9,29.1,0.0
2023-04-10,91.4,28.9,0.0
2023-04-11,92.0,30.7,0.0
2023-04-12,90.0,33.3,0.0
2023-04-13,90.0,32.8,0.0
2023-04-14,91.2,30.3,0.0
2023-04-15,90.5,33.2,0.0
2023-04-16,90.6,34.9,0.0
2023-04-17,91.8,33.6,0.0
2023-04-18,92.2,27.8,0.0
2023-04-19,92.4,31.1,0.0
2023-04-20,89.6,30.8,0.0
2023-04-21,89.1,37.3,0.0
2023-04-22,90.1,34.0,0.0
2023-04-23,90.3,30.4,0.0
2023-04-24,89.0,30.1,0.0
2023-04-25,89.4,23.5,0.0
2023-04-26,89.7,34.0,0.0
2023-04-27,88.2,49.2,0.0
2023-04-28,89.2,40.4,0.0
2023-04-29,81.4,60.5,0.118
2023-04-30,81.9,59.2,0.039
2023-05-01,82.2,57.7,0.0
2023-05-02,83.4,58.7,0.0
2023-05-03,86.7,49.6,0.0
2023-05-04,89.5,42.2,0.0
2023-05-05,90.4,44.6,0.0
2023-05-06,91.3,43.6,0.0
2023-05-07,93.4,41.8,0.0
2023-05-08,93.7,38.8,0.0
2023-05-09,95.2,33.9,0.0
2023-05-10,94.0,28.6,0.0
2023-05-11,95.4,24.8,0.0
2023-05-12,96.9,22.7,0.0
2023-05-13,97.4,29.6,0.0
2023-05-14,95.3,43.0,0.0
2023-05-15,92.6,54.2,0.0
2023-05-16,92.0,54.4,0.0
2023-05-17,92.9,49.4,0.0
2023-05-18,92.6,45.6,0.0
2023-05-19,94.2,46.9,0.0
2023-05-20,95.0,46.2,0.0
2023-05-21,94.6,46.4,0.0
2023-05-22,93.2,45.8,0.0
2023-05-23,92.7,49.7,0.0
2023-05-24,93.8,47.4,0.0
2023-05-25,93.3,47.3,0.0
2023-05-26,91.3,53.9,0.315
2023-05-27,92.1,55.9,0.0
2023-05-28,87.9,62.1,2.165
2023-05-29,84.1,62.9,0.118
2023-05-30,87.1,49.9,0.0
2023-05-31,92.4,38.4,0.0
2023-06-01,92.9,46.2,0.0
2023-06-02,91.3,56.6,0.0
2023-06-03,92.2,56.0,0.0
2023-06-04,86.8,63.0,1.102
2023-06-05,91.2,61.4,0.0
2023-06-06,90.8,58.1,0.0
2023-06-07,91.9,56.7,0.0
2023-06-08,92.5,54.3,0.0
2023-06-09,93.0,53.6,0.0
2023-06-10,92.3,55.7,0.0
2023-06-11,91.3,55.2,0.0
2023-06-12,90.5,56.1,0.0
2023-06-13,90.6,59.3,0.0
2023-06-14,90.2,63.6,0.0
2023-06-15,86.4,72.9,0.079
2023-06-16,83.9,81.4,1.142
2023-06-17,84.7,77.5,0.611
2023-06-18,86.2,73.7,0.15
2023-06-19,87.4,69.0,0.004
2023-06-20,88.0,65.1,0.0
2023-06-21,89.1,62.2,0.0
2023-06-22,89.6,60.7,0.0
2023-06-23,89.8,59.9,0.0
