,Weekday,Jamalpur Station,Jamalpur Amts ,Pragatinagar Station,Maninagar Station,Memco Station,Paldi Station,Paldi Amts ,Sarkhej  Station,Gota Station,Memnagar Station,Memnagar Amts,Vadaj Station,Sabarmati Station,Sabarmati Amts,Chandola Station,Krishanagar,DODO-Green Fuel Station  ,Vijay Gas Station-DODO-Bhuvaldi,Jay Goga Corporation -DODO-Hathijan,Shree Gas Station-DODO-Bhadaj,Abad Hirapur - DODO,JAY DWARKADISH ENTERPRISE,Bhakti Petroleum-IBP,Punjab Service Station-IBP,Gujarat Rajya Purvatha-IBP Khokhra vidita,Saccha Sauda-IBP,Jayvir Civil Petrol Pump-IOCL,Rupam Petroleum-IOCL,Maniyar Petroleum-IOCL,Sun Petro Gas-IOCL ,Dharamtal-BPCL,Shraddha Petrolium-BPCL,Metro Service-BPCL,Mitesh Automobile-BPCL,Vatsal Automobile-BPCL,Parmar Tradelink (Adhoc)-BPCL Ganesh,Auto Services  Mirzapur-BPCL,Alka Automobile-BPCL,Neelu Motors-BPCL,Modi Service-BPCL,Ila Automobile-BPCL,Auto Rikshaw Driver Co.Ass-BPCL,Revadas Jhaverbhai & Sons-BPCL,Sindh Automobiles-BPCL (Memco),Kalptaru Petroleum-BPCL,Shree Laxmi Narayan-IBP,Jay Petroleum-Essar,Unique Retread-IBP,Iswar Petroleum-IOCL,Ambica Service-IOCL,Swaminarayan Sokali-BPCL,Swadesh Cargo Carrier -BPCL,Gujarat Auto Centre-IOCL-Shahwadi,Chenpur Petroleum- IOCL,Pavan Petroleum -BPCL,Anjani Petroleum-BPCL,Rathva Petroleum - IOCL ,Shrinathji Petroleum -BPCL,Ambica Automobiles-BPCL,Ashtavinayak-Hirapur- IOCL,Kalashree Automobiles- IOCL,Shivganga Petroleum-Kamod-BPCL,RB Patel & Sons-Kuha-BPCL,Alka Automobile-BPCL- Ognaj ,Kuldevi Petroleum-BPCL- Ranasan,Dev Petroleum -IOCL,Kameshwar Petroleum -IOCL,Aadhit Petroleum - IOCL,Parmar Tradelink - BPCL,Kanha Petroleum - HPCL,Sardar Petro Station - IOCL,LJ Thakkar - IOCL,Grand Millenlum - HPCL,Karnavati Petroleum - BPCL,Siddhanath Petroleum - HPCL,Siddhi Gasoline - BPCL,Vinayak Petroleum - IOCL,Radhey Petroleum - BPCL,Shree Gokulesh Petroleum - IOCL,B N Gasoline - BPCL,Millennium-HPCL,SHREEJI AUTO SERVICE-HPCL,RAVI PETROLEUM-BPCL,GUJARAT AUTO (USHMANPURA)- IOCL STATION 
2023-04-01,Saturday,10485.08,5954.47,6389.50,11492.98,11517.52,11557.27,1198.99,12189.48,16840.47,6511.60,0.00,14779.07,5662.69,3017.19,9988.87,10998.50,6799.49,8004.40,11307.28,4529.34,,,4537.82,2788.37,5101.01,6192.53,2842.24,4790.38,2504.88,3854.70,1466.25,5112.51,3012.31,5900.50,4153.28,5277.67,2474.25,5337.19,7476.29,3996.94,0.00,3285.79,922.00,3558.87,1302.88,9599.37,3325.25,5043.78,2768.00,4120.63,2916.75,4244.50,1987.25,1955.00,2120.69,5784.62,3259.25,0.00,2022.42,3097.74,0.00,2119.00,3032.59,2807.62,5204.88,4071.11,2789.53,2208.56,3424.94,2089.25,4941.60,6922.79,0.00,2053.87,5289.32,5434.84,2279.50,3503.84,3720.81,5929.37,2596.84,3028.97,5816.08,1780.32
2023-04-02,Sunday,7949.78,4046.22,5083.51,9231.52,9352.54,9026.10,885.83,8977.69,13244.86,4942.25,0.00,11496.63,4896.29,2116.87,8651.35,8732.25,5418.77,6431.58,8967.58,4125.80,,,3683.63,2036.21,4261.75,4865.00,2529.79,4199.25,2194.99,3543.49,1401.00,4064.12,2464.59,5134.82,2986.73,3363.14,2586.50,4589.69,6080.86,3391.02,0.00,2980.36,822.37,3323.11,1005.12,7540.76,1850.21,4161.27,2410.63,4225.44,3960.26,3417.38,1819.13,2353.99,1837.19,4903.13,2870.00,0.00,1701.05,2631.22,0.00,2523.90,2681.30,2756.88,5069.74,3651.14,1945.32,1499.18,2450.94,2189.12,4940.77,6037.81,0.00,1311.72,4795.94,4535.48,1587.03,1978.20,3067.51,4578.82,2467.13,2226.45,4956.70,1092.51
2023-04-03,Monday,10399.14,6736.62,6349.81,11539.11,12081.90,11815.25,1577.99,11881.09,15618.76,6536.86,0.00,15401.14,4845.52,3107.75,9933.61,9717.62,6916.57,7620.72,11741.10,4114.32,,,4317.02,2630.15,4668.49,5060.86,2865.75,4817.00,2462.30,4165.50,1652.75,3509.75,3007.70,5385.68,4001.59,5127.30,2537.00,4531.31,7120.20,3651.93,2279.93,3316.40,606.55,3739.18,1042.25,8292.87,3155.03,4824.38,2517.12,3380.88,3754.21,4091.87,1670.25,1896.39,2083.69,5069.37,2961.38,0.00,2491.47,1250.35,0.00,991.10,2590.84,2456.07,5037.76,4009.37,2706.47,2390.15,2975.94,2005.87,3856.09,6539.74,0.00,1990.43,4864.68,4990.82,1915.31,2258.49,3023.93,4946.22,2101.97,2655.22,5854.40,1582.60
2023-04-04,Tuesday,10766.83,5844.85,6270.87,11454.52,11740.23,11815.94,1279.73,11114.76,16438.86,6310.99,0.00,14380.17,5128.87,2696.31,9754.72,10534.88,7870.03,4425.62,10868.06,4438.78,,,5604.13,2600.72,4067.06,6203.17,3017.69,4896.75,2590.43,2175.74,1872.25,5036.50,2935.47,5642.74,4074.66,4812.88,2589.22,4824.50,7442.95,3730.91,3759.62,3460.39,755.73,3667.88,988.53,8024.87,2194.97,5247.76,2775.87,2954.50,2649.13,4200.88,1345.12,1979.27,2480.36,5587.00,3198.37,0.00,2185.62,2797.21,0.00,1319.99,2004.47,3130.05,5480.37,4116.99,2511.02,2107.58,3429.61,2222.00,4307.96,6917.57,0.00,1684.57,3429.38,5525.29,2128.84,3228.88,3641.32,5660.60,2581.75,2710.97,5613.24,1540.98
2023-04-05,Wednesday,10616.97,6577.18,6686.69,13364.06,12694.16,12510.74,1369.50,14110.06,17764.37,7076.15,0.00,16184.83,5647.47,3014.00,9959.81,10715.88,6899.60,8468.84,12308.68,4903.97,,,4608.77,2765.79,2040.38,6107.12,2931.50,5042.00,2464.47,3730.73,1963.50,5406.00,3010.40,6172.31,3999.41,4362.66,2704.97,5100.88,6373.19,4276.18,4181.64,3533.86,991.10,4050.87,1210.11,10024.63,3550.48,5690.05,2798.50,4200.25,4113.23,4581.00,2075.63,2379.35,2336.58,5515.75,3291.63,0.00,2302.31,2721.60,0.00,1366.60,2621.15,3081.18,5481.12,4472.26,2757.73,2456.49,3619.20,2461.26,5348.65,6351.24,0.00,2064.31,5686.38,5931.88,2142.56,3607.01,4023.43,5880.08,1283.60,2935.93,4120.45,1814.59
2023-04-06,Thursday,10579.35,6595.41,6543.69,11905.34,12756.50,12701.79,1451.37,13530.71,17065.43,7096.80,0.00,16598.94,6693.41,3135.38,9860.57,6294.24,8075.69,8221.32,11704.04,4636.95,,,4655.28,2761.45,4629.15,5849.09,3157.50,4988.37,2612.47,3117.85,1567.75,5287.38,2803.43,4548.48,4120.94,4890.16,2681.00,4994.05,7996.92,2620.84,4129.35,3463.90,827.12,3875.00,1262.75,9900.38,3399.07,5726.31,2813.88,4788.50,3995.03,4544.12,1974.00,2235.00,2167.36,5541.38,3386.87,0.00,2606.02,3036.25,0.00,1624.41,2625.21,3013.14,5793.38,4440.38,2973.49,2391.45,3758.24,2430.12,4997.73,7587.54,18.86,1955.81,5890.61,6085.69,2227.41,3834.82,3775.76,5145.55,3668.92,3025.09,5660.40,2014.72
2023-04-07,Friday,8167.66,4266.25,4328.83,9790.13,8148.17,9876.86,1161.32,11905.62,14627.48,5397.84,0.00,9684.33,4822.31,2683.94,8446.48,8856.63,6402.66,6939.49,10752.74,4156.13,,,4354.55,2631.02,4468.69,5600.37,2724.18,3881.75,2193.22,3501.65,1903.50,4889.91,2732.35,5475.83,3680.91,3645.29,2819.02,3735.25,6262.59,3703.18,3235.85,3241.46,980.25,3075.88,1135.80,6030.62,3462.08,3661.72,2701.63,3407.25,3182.79,3606.13,1517.37,2040.75,2151.64,4985.00,3096.25,0.00,2138.97,2052.50,0.00,1849.17,2438.96,2574.44,4835.74,4061.13,2637.48,2091.65,3084.73,2135.50,4397.94,5854.54,138.88,2009.09,4772.01,5277.79,1775.59,2757.96,3369.68,4920.30,1790.58,2580.33,3408.94,1488.27
2023-04-08,Saturday,11530.30,7090.75,8052.86,13913.35,13724.61,14848.55,1273.49,13203.21,18638.36,7443.50,0.00,18751.03,6814.88,2519.06,11293.27,12075.88,7859.97,8904.35,13474.05,5127.06,,,4938.62,2659.47,5114.69,6526.76,2914.38,6342.63,2589.99,3936.71,1852.50,5588.71,2961.38,5494.15,4163.94,4657.88,2371.88,5652.45,8287.73,4690.70,4406.01,3214.35,1093.63,4796.62,1251.16,13364.75,2601.66,6892.57,2889.62,4843.50,4468.67,4548.37,1833.38,2526.88,2431.99,6071.75,3944.88,0.00,2527.76,2913.70,0.00,1937.83,1765.12,2717.67,6365.38,4498.24,2777.18,2396.37,3801.66,2379.38,5667.37,8402.66,310.68,1968.85,6254.26,4961.12,2183.69,4232.30,4546.93,6505.09,2441.87,2864.16,8017.03,1699.94
2023-04-09,Sunday,9256.41,5122.50,6107.37,10508.11,11092.83,12026.75,1022.65,11918.76,16635.00,6442.60,0.00,14233.78,6919.58,2470.62,9121.66,11074.12,7452.45,8678.66,11939.64,4581.31,,,4898.04,2737.27,4612.50,5859.30,2554.47,4436.25,2097.64,3585.58,2084.75,5214.37,2629.96,6311.02,3584.38,4201.08,2792.10,4677.92,7181.46,3513.78,4285.96,3308.84,1044.12,3759.50,1078.38,9719.37,4002.41,4913.72,2687.75,4070.75,4063.52,3868.50,1779.62,2140.50,1878.93,5971.62,3980.87,0.00,2078.18,3299.49,0.00,1546.00,3819.00,2753.77,6822.88,4340.74,2226.68,1425.10,3119.19,2325.99,5363.25,7524.75,0.00,1606.19,5803.87,5595.19,2276.06,3758.00,4120.01,5785.94,2849.68,2344.19,6165.75,1421.88
2023-04-10,Monday,10496.65,6561.25,6826.37,12399.00,11702.79,12350.78,1388.09,12470.57,16731.67,6910.91,0.00,15659.03,5814.91,3137.56,10445.80,10109.88,7410.99,8753.00,12018.82,4952.28,,,3379.12,2689.41,4951.56,4676.23,3213.03,4836.00,1742.23,3986.27,2115.00,5477.13,2979.10,6204.23,3263.30,5133.47,2680.16,5278.82,7509.71,4544.73,4354.95,3522.79,1229.75,3932.13,1016.51,6715.88,3121.84,4306.25,2863.50,4265.25,4057.32,3957.25,1912.63,1926.00,2384.14,5872.50,3379.62,0.00,2843.48,2558.89,0.00,1955.21,2201.28,2214.43,5515.12,4442.39,3020.87,2553.71,3544.60,2254.00,5526.52,7211.11,344.47,1925.97,5704.94,5861.90,2272.06,3443.00,3877.37,5547.84,2487.13,1882.95,4150.41,1773.67
